"filename", "language", "TypeScript React", "comment", "blank", "total"
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/student/index.tsx", "TypeScript React", 0, 0, 1, 1
"Total", "-", 0, 0, 1, 1
