"filename", "language", "TypeScript React", "SCSS", "TypeScript", "JSON with Comments", "Markdown", "JSON", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"/home/lin/OdinProject/course-management-system/lib/constants/index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lin/OdinProject/course-management-system/lib/constants/navMenu.tsx", "TypeScript React", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 152
"/home/lin/OdinProject/course-management-system/lib/model/common.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/home/lin/OdinProject/course-management-system/lib/model/course.ts", "TypeScript", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 30, 181
"/home/lin/OdinProject/course-management-system/lib/model/index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/lin/OdinProject/course-management-system/lib/model/message.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 16, 78
"/home/lin/OdinProject/course-management-system/lib/model/statistics.ts", "TypeScript", 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 22, 126
"/home/lin/OdinProject/course-management-system/lib/model/student.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 11, 70
"/home/lin/OdinProject/course-management-system/lib/model/teacher.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 16, 75
"/home/lin/OdinProject/course-management-system/lib/model/user.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 17, 109
"/home/lin/OdinProject/course-management-system/lib/request/common.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 3, 11, 90
"/home/lin/OdinProject/course-management-system/lib/request/course.api.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 13, 79
"/home/lin/OdinProject/course-management-system/lib/request/index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/lin/OdinProject/course-management-system/lib/request/message.api.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/home/lin/OdinProject/course-management-system/lib/request/statistics.api.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"/home/lin/OdinProject/course-management-system/lib/request/student.api.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"/home/lin/OdinProject/course-management-system/lib/request/teacher.api.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 7, 44
"/home/lin/OdinProject/course-management-system/lib/request/user.api.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
"/home/lin/OdinProject/course-management-system/lib/util/common.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 8, 51
"/home/lin/OdinProject/course-management-system/lib/util/index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/lin/OdinProject/course-management-system/lib/util/menu.helper.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/home/lin/OdinProject/course-management-system/next-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 6
"/home/lin/OdinProject/course-management-system/next.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 29, 10, 7, 46
